jobID,real,guess,pNFound
33912,9.0,30.78,0.94
49398,2.5,3.53,0.88
49490,1.0,1.51,0.50
46761,4.5,1.75,0.60
48405,1.0,0.97,1.00
24355,10.0,7.48,0.83
4435,1.5,1.17,0.25
12274,2.5,0.67,0.00
20604,2.0,0.67,0.00
14294,11.0,1.15,0.25
14268,99.0,177.39,0.80
6427,51.5,43.95,0.93
10660,35.5,44.07,0.89
26801,17.5,3.82,0.80
33208,41.0,36.80,0.88
41707,8.0,13.09,0.86
38793,1.5,2.03,0.60
43338,2.5,3.09,0.80
7049,22.0,10.31,0.70
5982,23.5,26.91,0.88
7516,82.5,9.45,0.08
26606,6.5,10.37,0.86
7451,8.0,6.30,0.71
304,7.0,0.67,0.00
10545,61.5,32.13,0.87
24,26.5,26.70,1.00
52,19.5,22.86,1.00
6424,21.0,23.92,0.95
8164,1.25,2.10,0.75
39,31.5,31.70,1.00
8266,3.5,0.95,0.25
1493,35.5,40.53,1.00
57,4.5,2.87,0.78
8068,10.5,11.78,0.81
1550,2.0,6.06,0.93
7494,45.5,19.05,0.78
18,42.0,40.66,1.00
6460,50.5,44.55,0.87
7120,3.5,3.92,0.62
5574,71.5,28.54,0.88
7826,3.0,20.82,0.84
7815,76.5,12.69,0.89
8316,22.0,13.68,0.70
7697,15.5,27.10,0.92
8358,59.5,28.27,0.85
8148,15.5,0.67,0.00
41,24.5,22.76,1.00
8281,10.0,4.09,0.60
1573,1.5,0.67,0.00
8417,20.0,1.05,0.25
8422,7.0,0.81,0.67
8336,87.5,20.77,0.89
5049,42.5,31.98,0.75
8470,15.0,14.77,0.80
970,6.0,2.69,1.00
8328,1.5,1.12,0.25
62,6.5,3.68,1.00
8304,3.5,7.83,0.78
7864,3.5,2.90,0.73
11,7.0,7.24,0.83
1380,20.0,2.26,0.71
8122,24.0,25.16,0.98
1186,18.5,17.97,1.00
7476,4.0,1.37,0.33
7857,39.0,24.23,0.87
7786,6.0,2.45,0.57
1530,65.5,40.99,0.86
8533,21.0,0.67,0.00
6853,18.0,31.26,0.97
25,1.5,1.73,0.67
8155,1.0,1.07,1.00
7575,4.0,0.67,0.00
7059,42.0,0.00,0.50
8574,3.0,1.50,0.38
1456,16.0,26.60,0.95
8472,2.0,0.67,0.00
5304,10.0,2.05,0.60
8603,8.0,17.20,0.90
8232,2.25,4.42,0.83
8613,24.5,32.48,0.92
3307,19.5,23.09,0.71
8621,22.0,3.84,1.00
7654,10.0,12.71,1.00
8121,23.5,18.15,0.96
8637,109.0,68.93,0.87
82,26.0,22.60,1.00
8641,36.5,47.26,0.91
8181,16.0,21.74,0.93
6823,34.0,27.50,0.96
1457,6.5,10.37,0.96
7642,25.5,24.00,0.96
8476,12.5,9.36,0.85
7828,13.0,11.24,0.83
8562,36.0,23.75,0.85
8467,3.5,3.58,0.86
8717,51.0,0.67,0.00
7315,31.5,19.29,0.94
6831,3.0,1.66,0.67
8646,10.5,5.22,0.56
5250,121.5,13.95,0.88
8743,2.5,0.67,0.00
8745,9.5,9.62,0.79
8772,3.0,0.67,0.00
6991,63.0,18.07,0.94
8800,2.0,0.82,0.50
8798,2.0,4.85,0.80
1603,6.5,7.04,0.95
8820,5.0,0.67,0.00
8827,6.5,0.67,0.00
8843,5.5,5.18,0.80
4737,23.5,0.67,0.00
6538,16.5,8.09,0.87
8675,5.0,4.15,0.69
8836,6.5,12.03,0.70
8074,64.5,29.10,0.82
46,26.0,14.68,1.00
5164,16.0,0.79,0.20
8362,85.5,0.67,0.00
5299,7.5,29.25,0.88
